Geracao;Indice;Fitness;Caminho
0;0;595;CBCBBEBDDED
0;1;395;DDECDDBDBBEEBD
0;2;393;DBDBEDCEDD
0;3;392;CEDEBCDDEBDDE
0;4;390;DDEDCEEDEEC
0;5;390;DDDBBEBEEEECCCE
0;6;195;EBBECEBBDBD
0;7;194;BDDBEEBCBCBD
0;8;193;BCCBEEBCEBB
0;9;192;BDEDEBCBCB
0;10;191;DCBCEDDBEDE
0;11;191;DDCEBEBECBDBCBCBCCB
0;12;191;CBCBBCCCBDE
0;13;0;CCCCCCBEDECDDCBEEDB
0;14;0;DCCEDCBBCDEBBBC
0;15;0;CBDDBDBCDBDDCBB
0;16;0;CBDEEDCEEDEBEEEECCB
0;17;0;CEECECDBECDCECECDCEE
0;18;0;CDEDCEEBBEBBDCDCDCE
0;19;0;CDCCCDCECBECCEDCDCDC
0;20;0;EBCDDBBEECBCBBCEC
0;21;0;DDBCDDEDCEBEDD
0;22;0;DCEBECCEEE
0;23;0;EDCBCBBDCEBEDCCE
0;24;0;EECCDDDCEE
0;25;0;DDDBBEBECCBDCEB
0;26;0;EBCDBEDDDBDDDBD
0;27;0;BBCDDEDBECCBBEBD
0;28;0;ECCCCCDCBBEEDDBCDBBD
0;29;0;CBEDEBBDBE
0;30;0;CEBBBECBEEDEEB
0;31;0;EDCEBCDDDEBCBDEEEBDB
0;32;0;DECBBEEDCBDDCC
0;33;0;BBDEBDBBCEECD
0;34;0;BEDBCDCEEEB
0;35;0;BECDEDBDDECCDECBDBBE
0;36;0;BEDDCCBDBBBCDCBB
0;37;0;CCCCDEEEBCECBBCD
0;38;0;BBCDCCDBDCEEEBDEBBBB
0;39;0;EBEEEEEBBDCEEDCBD
0;40;0;EBBEECECDEE
0;41;0;EBBCDCCCCBEDCEB
0;42;0;DDBCBCCCCEEBECDBBED
0;43;0;CEEBDBCEDBEDBCEDDDDC
0;44;0;CBBEBDCCEB
0;45;0;ECCCDDCBCBEEE
0;46;0;ECEEDDEDCCBDB
0;47;0;BCDDCEDBBBEDDDBBED
0;48;0;ECBDCDDEEEDEC
0;49;0;BCEBCDCDCBCCDEC
0;50;0;CEBDDCCBDB
0;51;0;BCBBBBCDDBDEDCECD
0;52;0;CBCBBEEEECCE
0;53;0;BDDBEEEBDDED
0;54;0;DDECDDBEEEECCD
0;55;0;BDDBEEDBBEEBDB
0;56;0;DBDBEEEEECCB
0;57;0;BDDBEEDCEDDD
0;58;0;CEDEBCEEEECCC
0;59;0;BDDBEEDDEBDDE
0;60;0;DDEDCEEEECCB
0;61;0;BDDBEEEEDEEC
0;62;0;EBBECEEEECCE
0;63;0;BDDBEEEBBDBD
0;64;0;BCCBEEEEECCC
0;65;0;BDDBEEEBCEBB
0;66;0;BDEDEEEEECCC
0;67;0;DCBCEEEEECCD
0;68;0;BDDBEEDDBEDE
0;69;0;DDCEBEBECEEEECCECCB
0;70;0;BDDBEEBDBCBCBCCBDDB
0;71;0;CBCBBEEEECCD
0;72;0;BDDBEECCCBDE
0;73;0;CCCCCCBEDEEEECCBBEC
0;74;0;BDDBEEECDDCBEEDBEBD
0;75;0;DCCEDCBEEEECCDB
0;76;0;BDDBEEBCDEBBBCC
0;77;0;CBDDBDBEEEECCBB
0;78;0;BDDBEECDBDDCBBE
0;79;0;CBDEEDCEEEEEECCBECD
0;80;0;BDDBEEDEBEEEECCBBCC
0;81;0;CEECECDBECEEEECCEEEB
0;82;0;BDDBEEDCECECDCEEEEDC
0;83;0;CDEDCEEBBEEEECCCDEB
0;84;0;BDDBEEEBBDCDCDCECEC
0;85;0;CDCCCDCECBEEEECCCDEB
0;86;0;BDDBEEECCEDCDCDCBCEB
0;87;0;EBCDDBBEEEEECCBDC
0;88;0;BDDBEEECBCBBCECBC
0;89;0;DDBCDDEEEEECCD
0;90;0;BDDBEEDCEBEDDB
0;91;0;DCEBEEEEECCD
0;92;0;BDDBEECCEEED
0;93;0;EDCBCBBDEEEECCEC
0;94;0;BDDBEECEBEDCCEDE
0;95;0;EECCDEEEECCE
0;96;0;BDDBEEDDCEEE
0;97;0;BDDBEEECCBDCEBD
0;98;0;EBCDBEDEEEECCEC
0;99;0;BDDBEEDDBDDDBDC
1;0;595;CBCBBEBDDED
1;1;593;CBCBBCCBDBB
